ID,Depth,Sampler,N1,N2,N3,Soil,UCSC
B-1,15,MCS,0,0,0,Clay,CL
B-1,20,MCS,0,0,0,Clay,CL
B-1,75,SPT,0,3,2,Clay,CH
B-1,100,SPT,24,19,20,Clay,CL
B-2,10.5,MCS,0,0,0,Clay,CL
B-2,15.5,MCS,0,0,0,Clay,CL
B-2,50,SPT,8,12,14,Clay,CL
B-2,80,MCS,1,5,7,Clay,CH
B-2,90,SPT,8,4,10,Clay,CL
B-3,70,SPT,2,4,5,Clay,CH
B-3,90,SPT,7,10,25,Clay,CH
B-4,15,MCS,0,0,0,Clay,CL
B-4,20,SPT,0,0,0,Clay,CL
B-4,25,SPT,0,0,0,Clay,CL
B-4,30,SPT,0,0,0,Clay,CL
B-4,40,SPT,0,0,2,Clay,CL
B-4,75,SPT,2,10,31,Clay,CH
B-4,105,SPT,7,7,15,Clay,CL
B-5,70,MCS,7,12,15,Clay,CH
AB-1,10,SPT,0,0,0,Clay,CL
AB-1,20,SPT,7,14,17,Clay,ML
AB-1,70,SPT,5,10,14,Clay,CH
AB-2,10,MCS,-1,-1,-1,Clay,CL
AB-2,60,MCS,5,5,9,Clay,CH
AB-2,70,MCS,7,7,11,Clay,CH
AB-2,80,SPT,5,9,9,Clay,CH
AB-3,12,MCS,-1,-1,-1,Clay,CL
AB-3,25,MCS,-1,-1,-1,Clay,CL
AB-3,60,MCS,10,16,14,Clay,CH
AB-3,70,SPT,3,6,6,Clay,CH
AB-4,5,SPT,2,6,8,Clay,CL
AB-4,15,SPT,0,0,1,Clay,CH
AB-4,30,SPT,2,3,6,Clay,CL
B-1,5,MCS,7,7,7,Sand,GC
B-1,25,SPT,5,6,3,Sand,SP-SM
B-1,30,MCS,14,20,30,Sand,SC
B-1,35,SPT,14,11,15,Sand,SM
B-1,40,SPT,11,10,9,Sand,SM
B-1,45,SPT,19,25,27,Sand,SM
B-1,50,SPT,14,15,20,Sand,SP-SM
B-1,55,SPT,14,13,15,Sand,SM
B-1,67.5,SPT,13,21,17,Sand,SP-SM
B-1,85,SPT,9,15,40,Sand,SP-SM
B-1,95,SPT,37,37,37,Sand,SP-SM
B-2,0,SPT,6,6,8,Sand,SM
B-2,20,SPT,9,11,12,Sand,SM
B-2,25,SPT,14,12,17,Sand,SM
B-2,30,SPT,7,11,10,Sand,SM
B-2,35,SPT,15,21,20,Sand,SM
B-2,40,SPT,17,20,12,Sand,SC
B-2,45,SPT,9,14,17,Sand,SM
B-2,60,MCS,6,11,20,Sand,SM
B-2,100,SPT,15,25,25,Sand,SM
B-3,5,MCS,5,5,5,Sand,GC
B-3,20,SPT,3,3,6,Sand,SP-SM
B-3,25,SPT,17,20,17,Sand,SP-SM
B-3,30,SPT,6,10,7,Sand,SP
B-3,35,SPT,15,22,22,Sand,SC
B-3,40,SPT,10,12,15,Sand,SC
B-3,45,SPT,5,6,8,Sand,SC
B-3,50,SPT,16,17,6,Sand,SC
B-3,80,SPT,18,25,21,Sand,SP-SM
B-3,100,SPT,23,20,28,Sand,SM
B-4,5,MCS,4,6,8,Sand,SM
B-4,45,SPT,12,14,16,Sand,SP
B-4,50,SPT,2,15,24,Sand,SM
B-4,55,SPT,16,37,30,Sand,SW
B-4,65,SPT,12,12,10,Sand,SC
B-4,85,MCS,38,50,100,Sand,SW
B-4,95,SPT,23,32,32,Sand,SC
B-4,125,SPT,22,22,20,Sand,SM
B-5,5,MCS,4,6,7,Sand,GC
B-5,15,MCS,9,3,10,Sand,SP
B-5,20,MCS,14,24,30,Sand,SP-SM
B-5,25,SPT,16,16,19,Sand,SP-SM
B-5,30,SPT,15,17,19,Sand,SP-SM
B-5,35,SPT,12,8,9,Sand,SM
B-5,40,SPT,21,22,21,Sand,SM
B-5,45,SPT,11,20,27,Sand,SM
B-5,50,SPT,27,27,14,Sand,SP-SM
B-5,60,SPT,16,20,24,Sand,SM
B-5,90,SPT,18,22,27,Sand,SP
B-5,100,SPT,22,25,45,Sand,SP-SM
AB-1,5,SPT,10,18,40,Sand,GM
AB-1,25,SPT,4,10,17,Sand,SM
AB-1,30,SPT,8,13,16,Sand,SM
AB-1,35,SPT,20,28,33,Sand,SM
AB-1,40,SPT,8,16,28,Sand,SM
AB-1,45,SPT,11,18,32,Sand,SM
AB-1,50,SPT,32,32,120,Sand,SM
AB-1,60,SPT,8,17,33,Sand,ML
AB-1,80,SPT,20,41,46,Sand,ML
AB-1,90,SPT,11,24,120,Sand,ML
AB-1,100,SPT,18,18,120,Sand,SM
AB-1,110,SPT,25,25,150,Sand,SP
AB-1,120,SPT,15,25,45,Sand,SP
AB-2,5,MCS,4,8,8,Sand,SP
AB-2,20,MCS,13,21,24,Sand,SC
AB-2,25,SPT,11,17,22,Sand,SM
AB-2,30,SPT,5,14,21,Sand,SP
AB-2,35,SPT,7,27,32,Sand,SP
AB-2,40,SPT,4,8,22,Sand,SM
AB-2,45,MCS,6,8,10,Sand,SM
AB-2,50,SPT,7,11,7,Sand,SM
AB-2,90,SPT,17,42,32,Sand,SC
AB-2,100,SPT,100,100,100,Sand,SC
AB-2,110,SPT,38,38,150,Sand,SP
AB-2,120,SPT,85.71428571,85.71428571,85.71428571,Sand,SP
AB-2,130,SPT,22,32,168,Sand,SP
AB-3,5,SPT,2,3,8,Sand,SC
AB-3,30,SPT,1,5,4,Sand,SP-SM
AB-3,35,SPT,4,10,14,Sand,SM
AB-3,40,SPT,5,10,17,Sand,SM
AB-3,45,SPT,11,7,14,Sand,SM
AB-3,50,SPT,3,5,7,Sand,SC
AB-3,80,MCS,16,17,39,Sand,SM
AB-3,90,SPT,3,15,40,Sand,SM
AB-3,100,SPT,8,26,17,Sand,SM
AB-3,110,SPT,100,100,100,Sand,SM
AB-3,120,SPT,100,100,100,Sand,SP-SM
AB-4,20,SPT,10,16,22,Sand,ML
AB-4,25,SPT,6,9,16,Sand,ML
AB-4,35,SPT,25,35,39,Sand,SC
AB-4,40,SPT,16,28,25,Sand,SC
AB-4,45,SPT,8,11,20,Sand,SC
AB-4,48.5,SPT,15,20,23,Sand,SC
